label,feasible,objective,mass,power,fault_thrust,fault_alloc,hover_nom,structural,packaging,structural_safety,min_safety_factor,hard_constraint_violated,worst_violation_constraint,worst_violation
baseline,false,0.593527,0.970505,1.000000,0.000000,1.000000,0.087791,1.289907,0.000000,1.908991,0.785755,true,default-architecture::arm_yield_failure,0.714245
raw_best,true,0.528236,0.994516,0.733510,0.000000,0.903701,0.095292,1.426024,0.000000,0.206725,7.256020,false,,0.000000
best_feasible,true,0.542306,1.003156,0.774826,0.000000,0.930210,0.083876,1.583328,0.000000,0.272652,5.501522,false,,0.000000
