# algorithm=cmaes seed=42 gen=40 generated=2026-05-18 22:52:46
label,Lx,Lyi,Lyo,T_max,arm_outer_radius,arm_wall_thickness,m_bat
baseline,2.65,2.65,5.5,12000,0.08,0.005,400
raw_best,3.58337,3.1525,5.06107,11803,0.134581,0.0160527,436.008
best_feasible,3.95661,2.4148,5.81364,12689.9,0.14125,0.0131381,401.87
